Annee,LATITUDE,LONGITUDE,Commune,CodeInsee,Mont_desc_gares
2016,47.552265,-1.532627,Abbaretz,44001,83
2006,48.428984,0.091054,Alençon,61001,816
2007,48.428984,0.091054,Alençon,61001,630
2008,48.428984,0.091054,Alençon,61001,636
2010,48.428984,0.091054,Alençon,61001,954
2013,48.428984,0.091054,Alençon,61001,1014
2015,48.428984,0.091054,Alençon,61001,1030
2004,48.428984,0.091054,Alençon,61001,801
2005,48.428984,0.091054,Alençon,61001,628
2006,47.372641,-1.178918,Ancenis,44003,1247
2007,47.372641,-1.178918,Ancenis,44003,1595
2008,47.372641,-1.178918,Ancenis,44003,1747
2010,47.372641,-1.178918,Ancenis,44003,1860
2013,47.372641,-1.178918,Ancenis,44003,2618
2015,47.372641,-1.178918,Ancenis,44003,2787
2016,47.372641,-1.178918,Ancenis,44003,2817
2004,47.372641,-1.178918,Ancenis,44003,1090
2005,47.372641,-1.178918,Ancenis,44003,1409
2006,47.472707,-0.556177,Angers,49007,6482
2007,47.472707,-0.556177,Angers,49007,7113
2008,47.472707,-0.556177,Angers,49007,7492
2010,47.472707,-0.556177,Angers,49007,8352
2013,47.472707,-0.556177,Angers,49007,9263
2015,47.472707,-0.556177,Angers,49007,9195
2004,47.472707,-0.556177,Angers,49007,5752
2005,47.472707,-0.556177,Angers,49007,7090
2016,47.472707,-0.556177,Angers Maître École,49007,96
2016,47.472707,-0.556177,Angers Saint-Laud,49007,9014
2006,47.926154,0.1874,Arnage,72008,34
2007,47.926154,0.1874,Arnage,72008,78
2008,47.926154,0.1874,Arnage,72008,52
2010,47.926154,0.1874,Arnage,72008,66
2013,47.926154,0.1874,Arnage,72008,74
2015,47.926154,0.1874,Arnage,72008,76
2016,47.926154,0.1874,Arnage,72008,121
2004,47.926154,0.1874,Arnage,72008,39
2005,47.926154,0.1874,Arnage,72008,38
2006,47.69009,0.267591,Aubigné-Racan,72013,30
2007,47.69009,0.267591,Aubigné-Racan,72013,26
2008,47.69009,0.267591,Aubigné-Racan,72013,36
