Annee,Nom_station_mesure,Agglo_station,CodeInsee,LATITUDE,LONGITUDE,Type_station,Moy_ann_microg/m3,Val_lim_microg/m3_en_moy_ann,Obj_qual_microg/m3_en_moy_ann,Percentile98_ann_microg/m3,Moy_jour_maxi_de_ann_microg/m3,Moyehor_maxi_ann_microg/m3,Val_lim_microg/m3_moy_hor_pas_depass_plusde18h_an,Nb_h_depass_val_lim_moy_h_pas_depass_plusde18h_an
2016,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,10,40,40,39,32,76,200,0
2016,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,11,40,40,42,38,87,200,0
2015,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,9,40,40,35,36,106,200,0
2015,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,9,40,40,39,38,78,200,0
2014,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,8,40,40,38,38,88,200,0
2014,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,9,40,40,42,39,97,200,0
2013,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,12,40,40,43,48,99,200,0
2013,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,12,40,40,45,49,100,200,0
2012,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,10,40,40,45,39,99,200,0
2012,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,12,40,40,49,42,97,200,0
2011,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,12,40,40,45,38,100,200,0
2011,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,12,40,40,46,47,82,200,0
2010,AUFFRET,SAINT-NAZAIRE,44210,47.320441667,-2.192025,TRAFIC,21,40,40,83,87,154,200,0
2010,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,14,40,40,54,57,115,200,0
2010,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,16,40,40,59,61,115,200,0
2009,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,13,42,40,50,59,69,210,0
2009,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,16,42,40,56,62,110,210,0
2008,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,14,44,40,51,49,131,220,0
2008,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,14,44,40,52,53,94,220,0
2008,REPUBLIQUE,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,TRAFIC,46,44,40,130,105,277,220,6
2007,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,15,46,40,51,50,121,230,0
2007,PARC PAYSAGER,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,15,46,40,55,53,96,230,0
2006,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,16,48,40,54,54,97,240,0
2005,BLUM,SAINT-NAZAIRE,44184,47.264094444,-2.250122222,URBAINE,14,50,40,51,50,100,250,0
2016,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,12,40,40,44,41,80,200,0
2015,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,11,40,40,45,33,82,200,0
2014,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,12,40,40,46,38,105,200,0
2013,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,13,40,40,48,38,112,200,0
2012,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,15,40,40,54,41,97,200,0
2011,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,15,40,40,53,46,102,200,0
2010,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,18,40,40,57,55,132,200,0
2009,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,17,42,40,55,51,111,210,0
2008,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,19,44,40,59,55,93,220,0
2007,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,19,46,40,58,56,104,230,0
2006,NATIONALE,CHOLET,49099,47.055816667,-0.883552778,TRAFIC,34,48,40,94,82,184,240,0
2006,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,18,48,40,54,62,94,240,0
2005,ST-EXUPERY,CHOLET,49099,47.055816667,-0.883552778,URBAINE,17,50,40,52,41,120,250,0
2016,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,11,40,40,43,33,93,200,0
2015,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,11,40,40,43,37,93,200,0
2014,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,12,40,40,46,37,112,200,0
2013,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,13,40,40,46,40,118,200,0
2012,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,14,40,40,54,45,99,200,0
2011,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,14,40,40,51,39,110,200,0
2010,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,16,40,40,56,65,125,200,0
2009,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,15,42,40,51,48,111,210,0
2008,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,15,44,40,54,53,96,220,0
2007,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,18,46,40,58,50,113,230,0
2006,DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,18,48,40,57,62,111,240,0
2005,LAËNNEC /DELACROIX,LA ROCHE SUR YON,85191,46.660694444,-1.436805556,URBAINE,17,50,40,55,40,106,250,0
2016,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,14,40,40,54,48,110,200,0
2015,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,15,40,40,54,43,100,200,0
2014,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,15,40,40,51,47,103,200,0
2005,RÖE,ANGERS,49007,47.4473361,-0.5501,TRAFIC,38,50,40,89,90,181,250,0 
2013,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,17,40,40,55,50,110,200,0
2012,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,16,40,40,54,48,100,200,0
2012,SAINT-LOUIS,LAVAL,53130,48.069522222,-0.767511111,TRAFIC,41,40,40,111,85,175,200,0
2011,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,18,40,40,60,52,112,200,0
2011,SAINT-LOUIS,LAVAL,53130,48.069522222,-0.767511111,TRAFIC,45,40,40,113,98,192,200,0
2010,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,20,40,40,65,71,128,200,0
2009,MAZAGRAN,LAVAL,53130,48.069522222,-0.767511111,URBAINE,19,42,40,61,64,121,210,0
