Annee,Nom_station_mesure,Agglo_station,az_CodeInsee,LATITUDE,LONGITUDE,Type_station,Moy_ann_microg/m3,Percentile98_ann_microg/m3,Moy_jour_maxi_microg/m3,Moy_hor_maxi_ann_microg/m3,Moy8_hor_maxi_ann_microg/m3,Objectif_qual_microg/m3_maxi_ann_delamoy8h
2010,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,56,119,109,162,146,120
2009,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,55,110,101,141,131,120
2008,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,55,108,112,158,147,120
2007,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,53,107,93,134,132,120
2006,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,57,124,135,182,178,120
2005,LAËNNEC / DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,58,124,140,173,163,120
2016,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,47,100,94,138,126,120
2015,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,50,103,94,144,132,120
2014,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,52,106,100,143,137,120
2013,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,52,118,125,164,157,120
2012,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,50,104,118,160,152,120
2011,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,50,112,106,153,143,120
2010,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,51,113,102,151,145,120
2009,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,48,102,98,157,143,120
2008,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,50,107,118,150,145,120
2007,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,47,108,101,141,131,120
2006,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,52,130,131,186,174,120
2005,MAZAGRAN,LAVAL,53130,48.06952222,-0.767511111,URBAINE,50,113,127,169,165,120
2016,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,51,107,108,156,143,120 
2016,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,50,109,101,158,146,120
2015,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,54,109,110,165,142,120 
2015,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,54,110,106,159,142,120
2014,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,56,111,106,144,136,120
2014,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,55,109,101,150,139,120
2013,SOURCES,LE MANS,72181,47.98893333,0.196033333,URBAINE,55,123,121,173,164,120
2013,SPAY,LE MANS,72344,47.92191111,0.151872222,PERIURBAINE,53,122,115,172,158,120
