Ville,CodeInsee,LONGITUDE,LATITUDE,Jour,Mois,Annee,Ind_qual_air,Sous_ind_ozone,Sous_ind_particules_fines,Sous_ind_part_azote,Sous_ind_part_souffre,Code_coul
ANGERS,49007,-0.556177,47.472707,01,01,2005,3,3,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,02,01,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,03,01,2005,3,2,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,04,01,2005,3,2,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,05,01,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,06,01,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,07,01,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,08,01,2005,3,3,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,09,01,2005,2,2,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,10,01,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,11,01,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,12,01,2005,3,3,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,13,01,2005,3,2,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,14,01,2005,2,2,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,15,01,2005,2,2,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,16,01,2005,4,1,4,2,1,VERT
ANGERS,49007,-0.556177,47.472707,17,01,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,18,01,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,19,01,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,20,01,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,21,01,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,22,01,2005,3,3,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,23,01,2005,3,3,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,24,01,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,25,01,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,26,01,2005,2,2,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,27,01,2005,3,2,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,28,01,2005,2,2,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,29,01,2005,2,2,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,30,01,2005,2,2,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,31,01,2005,2,2,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,01,02,2005,3,3,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,02,02,2005,3,2,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,03,02,2005,3,3,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,04,02,2005,3,3,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,05,02,2005,2,2,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,06,02,2005,3,3,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,07,02,2005,5,3,4,5,1,ORANGE
ANGERS,49007,-0.556177,47.472707,08,02,2005,4,3,4,4,1,VERT
ANGERS,49007,-0.556177,47.472707,09,02,2005,4,3,4,4,1,VERT
ANGERS,49007,-0.556177,47.472707,10,02,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,11,02,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,12,02,2005,3,3,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,13,02,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,14,02,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,15,02,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,16,02,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,17,02,2005,3,3,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,18,02,2005,3,2,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,19,02,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,20,02,2005,3,3,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,21,02,2005,3,2,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,22,02,2005,3,2,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,23,02,2005,3,3,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,24,02,2005,3,3,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,25,02,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,26,02,2005,4,4,4,3,1,VERT
ANGERS,49007,-0.556177,47.472707,27,02,2005,4,4,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,28,02,2005,3,3,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,01,03,2005,4,4,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,02,03,2005,4,4,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,03,03,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,04,03,2005,3,3,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,05,03,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,06,03,2005,5,5,2,2,1,ORANGE
ANGERS,49007,-0.556177,47.472707,07,03,2005,4,4,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,08,03,2005,3,3,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,09,03,2005,3,3,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,10,03,2005,3,3,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,11,03,2005,4,4,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,12,03,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,13,03,2005,4,4,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,14,03,2005,5,4,5,4,1,ORANGE
ANGERS,49007,-0.556177,47.472707,15,03,2005,5,5,4,4,1,ORANGE
ANGERS,49007,-0.556177,47.472707,16,03,2005,5,5,4,3,1,ORANGE
ANGERS,49007,-0.556177,47.472707,17,03,2005,3,3,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,18,03,2005,3,3,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,19,03,2005,5,5,2,2,1,ORANGE
ANGERS,49007,-0.556177,47.472707,20,03,2005,5,5,2,3,1,ORANGE
ANGERS,49007,-0.556177,47.472707,21,03,2005,3,3,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,22,03,2005,4,4,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,23,03,2005,4,4,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,24,03,2005,4,4,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,25,03,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,26,03,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,27,03,2005,4,4,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,28,03,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,29,03,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,30,03,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,31,03,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,01,04,2005,4,4,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,02,04,2005,5,5,3,2,1,ORANGE
ANGERS,49007,-0.556177,47.472707,03,04,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,04,04,2005,4,4,3,3,1,VERT
ANGERS,49007,-0.556177,47.472707,05,04,2005,4,4,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,06,04,2005,4,4,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,07,04,2005,4,4,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,08,04,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,09,04,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,10,04,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,11,04,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,12,04,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,13,04,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,14,04,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,15,04,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,16,04,2005,4,4,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,17,04,2005,4,4,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,18,04,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,19,04,2005,4,4,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,20,04,2005,4,4,2,3,1,VERT
ANGERS,49007,-0.556177,47.472707,21,04,2005,5,5,2,3,1,ORANGE
ANGERS,49007,-0.556177,47.472707,22,04,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,23,04,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,24,04,2005,4,4,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,25,04,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,26,04,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,27,04,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,28,04,2005,4,4,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,29,04,2005,3,3,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,30,04,2005,6,6,2,2,1,ORANGE
ANGERS,49007,-0.556177,47.472707,01,05,2005,5,5,3,2,1,ORANGE
ANGERS,49007,-0.556177,47.472707,02,05,2005,5,5,3,2,1,ORANGE
ANGERS,49007,-0.556177,47.472707,03,05,2005,4,4,3,2,1,VERT
ANGERS,49007,-0.556177,47.472707,04,05,2005,3,3,1,2,1,VERT
ANGERS,49007,-0.556177,47.472707,05,05,2005,4,4,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,06,05,2005,3,3,2,1,1,VERT
ANGERS,49007,-0.556177,47.472707,07,05,2005,4,4,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,08,05,2005,4,4,1,1,1,VERT
ANGERS,49007,-0.556177,47.472707,09,05,2005,4,4,2,2,1,VERT
ANGERS,49007,-0.556177,47.472707,10,05,2005,4,4,2,2,1,VERT
