Nom_route,Num_bornea_route,Dist_metre_apres_bornea,Type_recensement,Classe_route,Declinaison_classe_route,Nom_compteur_perm,Num_borneb_route,Dis_metre_apres_borneb,Moy_jour_ann_tous_vehi_2009,Moy_jour_ann_poidsL_2009,Moy_jour_ann_tous_vehi_2010,Moy_jour_ann_poidsL_2010,Mode_comptage,LATITUDE,LONGITUDE
44 D0002,59,0,RG,RDL1,RDL,,59,0,2015,143,2037,150,CT_A1,47.5370468028,-1.92879476764
44 D0002,70,200,RG,RDL2,RDL,,70,200,2360,137,2385,143,CT_A1,47.5139473485,-2.05600185083
44 D0003,15,0,RG,RDL1,RDL,,15,0,2897,202,2928,211,CT_A1,47.5877392333,-1.854961627
44 D0004,10,0,RG,RDL2,RDL,,10,0,2986,156,3018,163,CT_A1,47.4318761551,-2.18812110072
44 D0004,23,800,RG,RP2,RM,,23,800,6694,518,6766,542,CT_A1,47.3350525862,-2.09421676933
44 D0007,11,0,RG,RDL1,RDL,,11,0,2393,129,2419,135,CT_A1,47.2125669604,-1.35446560339
44 D0009,33,0,RG,RDL1,RDL,,33,0,4593,155,4642,162,CT_A1,47.3285354859,-1.45857805608
44 D0010,9,200,RG,RDL2,RDL,,9,200,1579,89,1596,93,CT_A1,47.4213793922,-1.02946882033
44 D0011,7,500,RG,RPU,RM,,7,500,3322,190,3358,199,CT_A1,47.1181980626,-1.55259716735
44 D0011,14,0,RG,RPU,RM,,14,0,5380,231,5438,242,CT_A1,47.1285167787,-1.63315415587
44 D0013,8,0,RG,RP2,RM,,8,0,2058,187,2080,196,CT_A1,46.9341516909,-1.72208196417
44 D0013,23,200,P,RP2,RM,FRESNAY,23,200,6954,549,6890,551,CP,47.0202404875,-1.86988310152
44 D0013,37,400,P,RP1,RM,LA BERNERIE,37,400,9342,571,9176,578,CP,47.0853241159,-2.0248048559
44 D0013,45,0,RG,RP2,RM,,45,0,7064,300,7140,314,CT_A1,47.1274209178,-2.14940172781
